old_cpp_name,section,key,default,cpp_type,special_case,notes
property_setTram_tramWidth,tram,width,24,double,,
property_setVehicle_antennaHeight,vehicle,antennaHeight,3,double,,
property_setVehicle_antennaOffset,vehicle,antennaOffset,0,double,,
property_setVehicle_antennaPivot,vehicle,antennaPivot,0.1,double,,
property_setVehicle_goalPointAcquireFactor,vehicle,goalPointAcquireFactor,0.9,double,,
property_setVehicle_goalPointLookAhead,vehicle,goalPointLookAhead,3,double,,
property_setVehicle_goalPointLookAheadHold,vehicle,goalPointLookAheadHold,3,double,,
property_setVehicle_goalPointLookAheadMult,vehicle,goalPointLookAheadMult,1.5,double,,
property_setVehicle_hitchLength,vehicle,hitchLength,-1,double,,
property_setVehicle_hydraulicLiftLookAhead,vehicle,hydraulicLiftLookAhead,2,double,,
property_setVehicle_isMachineControlToAutoSteer,vehicle,isMachineControlToAutoSteer,false,bool,,
property_setVehicle_isPivotBehindAntenna,vehicle,isPivotBehindAntenna,true,bool,,
property_setVehicle_isStanleyUsed,vehicle,isStanleyUsed,false,bool,,
property_setVehicle_isSteerAxleAhead,vehicle,isSteerAxleAhead,true,bool,,
property_setVehicle_lookAheadMinimum,vehicle,lookAheadMinimum,2,double,,
property_setVehicle_maxAngularVelocity,vehicle,maxAngularVelocity,0.64,double,,
property_setVehicle_maxSteerAngle,vehicle,maxSteerAngle,30,double,,
property_setVehicle_minCoverage,vehicle,minCoverage,100,double,,
property_setVehicle_minTurningRadius,vehicle,minTurningRadius,8.1,double,,
property_setVehicle_numSections,vehicle,numSections,3,double,,
property_setVehicle_panicStopSpeed,vehicle,panicStopSpeed,0,double,,
property_purePursuitIntegralGainAB,vehicle,purePursuitIntegralGainAB,0,double,,
property_setVehicle_slowSpeedCutoff,vehicle,slowSpeedCutoff,0.5,double,,
property_stanleyDistanceErrorGain,vehicle,stanleyDistanceErrorGain,1,double,,
property_stanleyHeadingErrorGain,vehicle,stanleyHeadingErrorGain,1,double,,
property_stanleyIntegralDistanceAwayTriggerAB,vehicle,stanleyIntegralDistanceAwayTriggerAB,0.25,double,,
property_stanleyIntegralGainAB,vehicle,stanleyIntegralGainAB,0,double,,
property_setVehicle_tankTrailingHitchLength,vehicle,tankTrailingHitchLength,-3,double,,
property_setVehicle_toolLookAheadOff,vehicle,toolLookAheadOff,0.5,double,,
property_setVehicle_toolLookAheadOn,vehicle,toolLookAheadOn,1,double,,
property_setVehicle_toolOffDelay,vehicle,toolOffDelay,0,double,,
property_setVehicle_toolOffset,vehicle,toolOffset,0,double,,
property_setVehicle_toolOverlap,vehicle,toolOverlap,0,double,,
property_setVehicle_toolWidth,vehicle,toolWidth,4,double,,
property_setVehicle_trackWidth,vehicle,trackWidth,1.9,double,,
property_setVehicle_vehicleName,vehicle,vehicleName,QString("Default Vehicle"),QString,,
property_setVehicle_vehicleType,vehicle,vehicleType,0,int,,
property_setVehicle_wheelbase,vehicle,wheelbase,3.3,double,,
property_setWindow_abDrawSize,window,abDrawLocation,'QRect(0,0,1022,742)',QRect,,
property_setWindow_BingMapSize,window,bingMapSize,'QRect(0,0,965,700)',QRect,,
property_setWindow_BingZoom,window,bingZoom,15,int,,
property_setWindow_buildTracksLocation,window,buildTracksLocation,'QPoint(40, 40)',QPoint,,
property_setWindow_formNudgeLocation,window,formNudgeLocation,'QRect(0,0,200, 200)',QRect,,
property_setWindow_gridLocation,window,gridLocation,'QPoint(20, 20)',QPoint,,
property_setWindow_gridSize,window,gridSize,'QPoint(400, 400)',QPoint,,
property_setWindow_HeadAcheSize,window,headAcheSize,'"1022, 742"',QString,,
property_setWindow_HeadlineSize,window,headlineSize,'"1022, 742"',QString,,
property_setWindow_isKioskMode,window,isKioskMode,false,bool,,
property_setWindow_isShutdownComputer,window,isShutdownComputer,false,bool,,
property_setWindow_Location,window,location,'QPoint(30, 30)',QPoint,,
property_setWindow_MapBndSize,window,mapBndSize,'"1022, 742"',QString,,
property_setWindow_Maximized,window,maximized,false,bool,,
property_setWindow_Minimized,window,minimized,false,bool,,
property_setWindow_QuickABLocation,window,quickABLocation,'QPoint(100, 100)',QPoint,,
property_setWindow_RateMapSize,window,rateMapSize,'"1022, 742"',QString,,
property_setWindow_RateMapZoom,window,rateMapZoom,15,int,,
property_setWindow_Size,window,size,'"1005, 730"',QString,,
property_setWindow_steerSettingsLocation,window,steerSettingsLocation,'QPoint(40, 40)',QPoint,,
property_setWindow_tramLineSize,window,tramLineSize,'"921, 676"',QString,,
property_set_youTurnDistanceFromBoundary,youturn,distanceFromBoundary,2,double,,
property_set_youTurnExtensionLength,youturn,extensionLength,20,double,,
property_set_youTurnRadius,youturn,radius,8.1,double,,
property_set_youSkipWidth,youturn,skipWidth,0,double,,
property_set_uTurnStyle,youturn,style,0,double,,
property_set_youToolWidths,youturn,toolWidths,2,double,,
property_set_youMoveDistance,youturn,youMoveDistance,0.25,double,,
,test,testStrings,'QVector<QString>{"one", "two", "trheep{", "four}" }',METATYPE_QVECTOR_STRING,,
,test,testDoubles,'QVector<double>{1.2, 1.3, 1.4}',METATYPE_QVECTOR_DOUBLE,,
,test,testColorRgbF,'QColor::fromRgbF(1.0,0.5,0.5,0.2)',QColor,,
